sourceArchive,matchUrl,recordKind,createdAt,players,prematchDecision,prematchSent,liveSignals,finalScore,resultStatus,pointSnapshots,leftPlayer,rightPlayer,leftWinOdds,rightWinOdds,winOddsSource,winOddsObservedAt,pairRegimeBranch,pairRegimeAccepted,pairPointWindow,pairFormEdge,pairStrengthSum,pairStrengthEdge,pairSelectedLatePointRate,decision,sent,protocolId,gateId,signalMode,pbpFilterAccepted,accuracyModeAccepted,moderateModeAccepted,pbpPointWindow,baseSelectedSideIndex,selectedSideIndex,sideCorrectionApplied,sideCorrectionReason,relativeAgreementScore,latestPbpReversal,leftCollapseCount,rightCollapseCount,collapseSum,collapseDifference,collapseSumWithinLimit,collapseCountsUnequal,collapseAccepted,selectedStrengthScore,opponentStrengthScore,selectedStrengthEdge,strongSelectedStrengthException,selectedHistoryMatches,selectedHistorySetSharePct,selectedHistorySetShareException,selectedFreshForm3Score,opponentFreshForm3Score,selectedHistory5WindowMatches,opponentHistory5WindowMatches,selectedHistory5SetSharePct,opponentHistory5SetSharePct,selectedHistory5SetShareEdge,selectedHistory8PerformancePct,opponentHistory8PerformancePct,relativeHistoryWindowReady,selectedFreshAtOrAboveHistory8,opponentFreshAtOrAboveHistory8,relativeFormSetShareException
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12316869/milan-fisera-vs-rostislav-hasmanda,forecasted,29.07 00:00,Милан Фисера vs Ростислав Хасманда,,,,1-3,miss,38,Милан Фисера,Ростислав Хасманда,,,,-,,,,,,,,ПРОПУСК,0,start-collapse-salvage-v4-2026-07-28,collapse-or-strength-15-or-history-share-61_5-or-relative-form-h5-edge-10,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12316870/petr-vicherek-vs-marek-zaskodny,forecasted,29.07 00:00,Петр Вичерек vs Марек Заскодный,,,,2-3,hit,47,Петр Вичерек,Марек Заскодный,1.727,2,bsportsfan-odds-frame,29.07 00:03,,,,,,,,ПРОПУСК,0,start-collapse-salvage-v4-2026-07-28,collapse-or-strength-15-or-history-share-61_5-or-relative-form-h5-edge-10,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12316871/michal-chalupa-vs-david-szotek,forecasted,29.07 00:00,Михал Халупа vs Дэвид Шотек,,,,2-3,hit,35,Михал Халупа,Дэвид Шотек,1.935,1.75,bsportsfan-odds-frame,29.07 00:03,,,,,,,,ПРОПУСК,0,start-collapse-salvage-v4-2026-07-28,collapse-or-strength-15-or-history-share-61_5-or-relative-form-h5-edge-10,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12316872/martin-jirasek-vs-radek-vosyka,forecasted,29.07 00:36,Мартин Джирасек vs Радек Восыка,,,,3-1,hit,42,Мартин Джирасек,Радек Восыка,2.28,1.51,bsportsfan-odds-frame,29.07 00:34,,,,,,,,ПРОПУСК,0,start-collapse-salvage-v4-2026-07-28,collapse-or-strength-15-or-history-share-61_5-or-relative-form-h5-edge-10,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12316881/rostislav-niezgoda-vs-david-sarganek,forecasted,29.07 00:30,Ростислав Нежгода vs Давид Сарганек,,,,0-3,miss,25,Ростислав Нежгода,Давид Сарганек,1.77,1.87,bsportsfan-odds-frame,29.07 00:29,,,,,,,,ПРОПУСК,0,start-collapse-salvage-v4-2026-07-28,collapse-or-strength-15-or-history-share-61_5-or-relative-form-h5-edge-10,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12316889/lukas-tonar-vs-jakub-tazler,observed_only,29.07 00:39,Лукас Тонар vs Якуб Тазлер,,,,,,18,Лукас Тонар,Якуб Тазлер,,,,-,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12316900/marcel-cmil-vs-jakub-mejzlik,forecasted,29.07 00:10,Масел Кмил vs Якуб Мейзлик,,,,1-3,miss,38,Масел Кмил,Якуб Мейзлик,,,,-,,,,,,,,ПРОПУСК,0,start-collapse-salvage-v4-2026-07-28,collapse-or-strength-15-or-history-share-61_5-or-relative-form-h5-edge-10,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12316915/richard-skacelik-vs-adrian-walek,observed_only,29.07 00:48,Ричард Скаселик vs Адриан Валек,,,,,,25,Ричард Скаселик,Адриан Валек,,,,-,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12316917/martin-boltik-vs-tomas-barsa,forecasted,29.07 00:35,Мартин Болтик vs Томаш Барса,,,,2-3,hit,17,Мартин Болтик,Томаш Барса,1.275,3.45,bsportsfan-odds-frame,29.07 00:35,,,,,,,,ПРОПУСК,0,start-collapse-salvage-v4-2026-07-28,collapse-or-strength-15-or-history-share-61_5-or-relative-form-h5-edge-10,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12316930/jan-skvrna-vs-dominik-pawlik,forecasted,29.07 10:47,Ян Скврна vs Доминик Павлик,,,,1-3,miss,33,Ян Скврна,Доминик Павлик,1.79,1.862,bsportsfan-odds-frame,29.07 10:47,,,,,,,,ПРОПУСК,0,start-collapse-salvage-v4-2026-07-28,collapse-or-strength-15-or-history-share-61_5-or-relative-form-h5-edge-10,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
